Filename	 Size	Lastof_modification
CSPv21_NPP_2018.353.NSW_ACT.tif	 56.9 Mbytes	2020-11-26T03:39:00Z
CSPv21_NPP_2019.001.tif	 514.0 Mbytes	2020-11-26T03:44:00Z
CSPv21_NPP_2019.001.NT.tif	 83.89 Mbytes	2020-11-26T03:45:00Z
CSPv21_NPP_2019.001.QLD.tif	 111.8 Mbytes	2020-11-26T03:45:00Z
CSPv21_NPP_2019.001.SA.tif	 68.5 Mbytes	2020-11-26T03:45:00Z
CSPv21_NPP_2019.001.TAS.tif	 5.399 Mbytes	2020-11-26T03:46:00Z
CSPv21_NPP_2019.001.VIC.tif	 16.9 Mbytes	2020-11-26T03:46:00Z
CSPv21_NPP_2019.001.WA.tif	 168.4 Mbytes	2020-11-26T03:47:00Z
CSPv21_NPP_2019.001.NSW_ACT.tif	 56.9 Mbytes	2020-11-26T03:47:00Z
CSPv21_NPP_2019.017.NT.tif	 84.39 Mbytes	2020-11-26T03:52:00Z
CSPv21_NPP_2019.017.QLD.tif	 111.8 Mbytes	2020-11-26T03:53:00Z
CSPv21_NPP_2019.017.SA.tif	 68.2 Mbytes	2020-11-26T03:53:00Z
CSPv21_NPP_2019.017.TAS.tif	 5.399 Mbytes	2020-11-26T03:53:00Z
CSPv21_NPP_2019.017.VIC.tif	 16.9 Mbytes	2020-11-26T03:53:00Z
CSPv21_NPP_2019.017.WA.tif	 167.7 Mbytes	2020-11-26T03:54:00Z
CSPv21_NPP_2019.017.NSW_ACT.tif	 56.8 Mbytes	2020-11-26T03:55:00Z
CSPv21_NPP_2019.033.tif	 511.2 Mbytes	2020-11-26T04:00:00Z
CSPv21_NPP_2019.033.NT.tif	 83.89 Mbytes	2020-11-26T04:00:00Z
CSPv21_NPP_2019.033.QLD.tif	 110.8 Mbytes	2020-11-26T04:01:00Z
CSPv21_NPP_2019.033.SA.tif	 68.6 Mbytes	2020-11-26T04:01:00Z
CSPv21_NPP_2019.033.TAS.tif	 5.399 Mbytes	2020-11-26T04:01:00Z
CSPv21_NPP_2019.033.VIC.tif	 17.0 Mbytes	2020-11-26T04:01:00Z
CSPv21_NPP_2019.033.WA.tif	 167.2 Mbytes	2020-11-26T04:02:00Z
CSPv21_NPP_2019.033.NSW_ACT.tif	 56.8 Mbytes	2020-11-26T04:02:00Z
CSPv21_NPP_2019.049.tif	 511.5 Mbytes	2020-11-26T04:07:00Z
CSPv21_NPP_2019.049.NT.tif	 84.1 Mbytes	2020-11-26T04:08:00Z
CSPv21_NPP_2019.049.QLD.tif	 111.0 Mbytes	2020-11-26T04:08:00Z
CSPv21_NPP_2019.049.SA.tif	 68.6 Mbytes	2020-11-26T04:09:00Z
CSPv21_NPP_2019.049.TAS.tif	 5.399 Mbytes	2020-11-26T04:09:00Z
CSPv21_NPP_2019.049.VIC.tif	 17.0 Mbytes	2020-11-26T04:09:00Z
CSPv21_NPP_2019.049.WA.tif	 167.2 Mbytes	2020-11-26T04:10:00Z
CSPv21_NPP_2019.049.NSW_ACT.tif	 57.0 Mbytes	2020-11-26T04:10:00Z
CSPv21_NPP_2019.065.tif	 509.4 Mbytes	2020-11-26T04:15:00Z
CSPv21_NPP_2019.065.NT.tif	 83.8 Mbytes	2020-11-26T04:16:00Z
CSPv21_NPP_2019.065.QLD.tif	 110.5 Mbytes	2020-11-26T04:16:00Z
CSPv21_NPP_2019.065.SA.tif	 68.2 Mbytes	2020-11-26T04:16:00Z
CSPv21_NPP_2019.065.TAS.tif	 5.3 Mbytes	2020-11-26T04:17:00Z
CSPv21_NPP_2019.065.VIC.tif	 16.8 Mbytes	2020-11-26T04:17:00Z
CSPv21_NPP_2019.065.WA.tif	 166.6 Mbytes	2020-11-26T04:18:00Z
CSPv21_NPP_2019.065.NSW_ACT.tif	 56.8 Mbytes	2020-11-26T04:18:00Z
CSPv21_NPP_2019.081.tif	 507.4 Mbytes	2020-11-26T04:23:00Z
CSPv21_NPP_2019.081.NT.tif	 84.0 Mbytes	2020-11-26T04:23:00Z
CSPv21_NPP_2019.081.QLD.tif	 109.8 Mbytes	2020-11-26T04:24:00Z
CSPv21_NPP_2019.081.SA.tif	 67.89 Mbytes	2020-11-26T04:24:00Z
CSPv21_NPP_2019.081.TAS.tif	 5.3 Mbytes	2020-11-26T04:24:00Z
CSPv21_NPP_2019.081.VIC.tif	 16.7 Mbytes	2020-11-26T04:24:00Z
CSPv21_NPP_2019.081.WA.tif	 165.9 Mbytes	2020-11-26T04:25:00Z
CSPv21_NPP_2019.081.NSW_ACT.tif	 56.59 Mbytes	2020-11-26T04:26:00Z
CSPv21_NPP_2019.097.tif	 506.5 Mbytes	2020-11-26T04:30:00Z
CSPv21_NPP_2019.097.NT.tif	 84.0 Mbytes	2020-11-26T04:31:00Z
CSPv21_NPP_2019.097.QLD.tif	 109.3 Mbytes	2020-11-26T04:31:00Z
CSPv21_NPP_2019.097.SA.tif	 67.89 Mbytes	2020-11-26T04:32:00Z
CSPv21_NPP_2019.097.TAS.tif	 5.3 Mbytes	2020-11-26T04:32:00Z
CSPv21_NPP_2019.097.VIC.tif	 16.59 Mbytes	2020-11-26T04:32:00Z
CSPv21_NPP_2019.097.WA.tif	 165.7 Mbytes	2020-11-26T04:33:00Z
CSPv21_NPP_2019.097.NSW_ACT.tif	 56.5 Mbytes	2020-11-26T04:33:00Z
CSPv21_NPP_2019.113.tif	 503.5 Mbytes	2020-11-26T04:38:00Z
CSPv21_NPP_2019.113.NT.tif	 83.8 Mbytes	2020-11-26T04:39:00Z
CSPv21_NPP_2019.113.QLD.tif	 108.8 Mbytes	2020-11-26T04:39:00Z
CSPv21_NPP_2019.113.SA.tif	 67.3 Mbytes	2020-11-26T04:40:00Z
CSPv21_NPP_2019.113.TAS.tif	 5.3 Mbytes	2020-11-26T04:40:00Z
CSPv21_NPP_2019.113.VIC.tif	 16.5 Mbytes	2020-11-26T04:40:00Z
CSPv21_NPP_2019.113.WA.tif	 165.2 Mbytes	2020-11-26T04:41:00Z
CSPv21_NPP_2019.113.NSW_ACT.tif	 55.5 Mbytes	2020-11-26T04:41:00Z
CSPv21_NPP_2019.129.tif	 503.2 Mbytes	2020-11-26T04:46:00Z
CSPv21_NPP_2019.129.NT.tif	 84.0 Mbytes	2020-11-26T04:47:00Z
CSPv21_NPP_2019.129.QLD.tif	 109.0 Mbytes	2020-11-26T04:47:00Z
CSPv21_NPP_2019.129.SA.tif	 66.89 Mbytes	2020-11-26T04:47:00Z
CSPv21_NPP_2019.129.TAS.tif	 5.3 Mbytes	2020-11-26T04:47:00Z
CSPv21_NPP_2019.129.VIC.tif	 16.39 Mbytes	2020-11-26T04:48:00Z
CSPv21_NPP_2019.129.WA.tif	 165.2 Mbytes	2020-11-26T04:49:00Z
CSPv21_NPP_2019.129.NSW_ACT.tif	 55.19 Mbytes	2020-11-26T04:49:00Z
CSPv21_NPP_2019.145.tif	 502.7 Mbytes	2020-11-26T04:54:00Z
CSPv21_NPP_2019.145.NT.tif	 84.3 Mbytes	2020-11-26T04:55:00Z
CSPv21_NPP_2019.145.QLD.tif	 108.8 Mbytes	2020-11-26T04:56:00Z
CSPv21_NPP_2019.145.SA.tif	 66.7 Mbytes	2020-11-26T04:56:00Z
CSPv21_NPP_2019.145.TAS.tif	 5.3 Mbytes	2020-11-26T04:56:00Z
CSPv21_NPP_2019.145.VIC.tif	 16.39 Mbytes	2020-11-26T04:56:00Z
CSPv21_NPP_2019.145.WA.tif	 165.2 Mbytes	2020-11-26T04:57:00Z
CSPv21_NPP_2019.145.NSW_ACT.tif	 55.09 Mbytes	2020-11-26T04:58:00Z
CSPv21_NPP_2019.161.tif	 503.0 Mbytes	2020-11-26T05:03:00Z
CSPv21_NPP_2019.161.NT.tif	 84.3 Mbytes	2020-11-26T05:03:00Z
CSPv21_NPP_2019.161.QLD.tif	 109.1 Mbytes	2020-11-26T05:04:00Z
CSPv21_NPP_2019.161.SA.tif	 66.8 Mbytes	2020-11-26T05:04:00Z
CSPv21_NPP_2019.161.TAS.tif	 5.3 Mbytes	2020-11-26T05:04:00Z
CSPv21_NPP_2019.161.VIC.tif	 16.3 Mbytes	2020-11-26T05:04:00Z
CSPv21_NPP_2019.161.WA.tif	 164.9 Mbytes	2020-11-26T05:05:00Z
CSPv21_NPP_2019.161.NSW_ACT.tif	 55.09 Mbytes	2020-11-26T05:06:00Z
CSPv21_NPP_2019.177.tif	 504.4 Mbytes	2020-11-26T05:12:00Z
CSPv21_NPP_2019.177.NT.tif	 84.8 Mbytes	2020-11-26T05:13:00Z
CSPv21_NPP_2019.177.QLD.tif	 109.3 Mbytes	2020-11-26T05:13:00Z
CSPv21_NPP_2019.177.SA.tif	 67.0 Mbytes	2020-11-26T05:14:00Z
CSPv21_NPP_2019.177.TAS.tif	 5.3 Mbytes	2020-11-26T05:14:00Z
CSPv21_NPP_2019.177.VIC.tif	 16.3 Mbytes	2020-11-26T05:14:00Z
CSPv21_NPP_2019.177.WA.tif	 165.2 Mbytes	2020-11-26T05:15:00Z
CSPv21_NPP_2019.177.NSW_ACT.tif	 55.19 Mbytes	2020-11-26T05:15:00Z
CSPv21_NPP_2019.193.tif	 505.7 Mbytes	2020-11-26T05:25:00Z
CSPv21_NPP_2019.193.NT.tif	 85.2 Mbytes	2020-11-26T05:26:00Z
CSPv21_NPP_2019.193.QLD.tif	 109.8 Mbytes	2020-11-26T05:27:00Z
CSPv21_NPP_2019.193.SA.tif	 67.2 Mbytes	2020-11-26T05:27:00Z
CSPv21_NPP_2019.193.TAS.tif	 5.3 Mbytes	2020-11-26T05:27:00Z
CSPv21_NPP_2019.193.VIC.tif	 16.3 Mbytes	2020-11-26T05:27:00Z
CSPv21_NPP_2019.193.WA.tif	 165.5 Mbytes	2020-11-26T05:28:00Z
CSPv21_NPP_2019.193.NSW_ACT.tif	 55.4 Mbytes	2020-11-26T05:28:00Z
CSPv21_NPP_2019.209.tif	 506.7 Mbytes	2020-11-26T05:33:00Z
CSPv21_NPP_2019.209.NT.tif	 85.39 Mbytes	2020-11-26T05:34:00Z
CSPv21_NPP_2019.209.QLD.tif	 110.1 Mbytes	2020-11-26T05:34:00Z
CSPv21_NPP_2019.209.SA.tif	 67.2 Mbytes	2020-11-26T05:34:00Z
CSPv21_NPP_2019.209.TAS.tif	 5.3 Mbytes	2020-11-26T05:34:00Z
CSPv21_NPP_2019.209.VIC.tif	 16.3 Mbytes	2020-11-26T05:35:00Z
CSPv21_NPP_2019.209.WA.tif	 165.7 Mbytes	2020-11-26T05:36:00Z
CSPv21_NPP_2019.209.NSW_ACT.tif	 55.5 Mbytes	2020-11-26T05:36:00Z
CSPv21_NPP_2019.225.tif	 508.0 Mbytes	2020-11-26T05:41:00Z
CSPv21_NPP_2019.225.NT.tif	 85.6 Mbytes	2020-11-26T05:41:00Z
CSPv21_NPP_2019.225.QLD.tif	 110.5 Mbytes	2020-11-26T05:42:00Z
CSPv21_NPP_2019.225.SA.tif	 67.3 Mbytes	2020-11-26T05:42:00Z
CSPv21_NPP_2019.225.TAS.tif	 5.3 Mbytes	2020-11-26T05:42:00Z
CSPv21_NPP_2019.225.VIC.tif	 16.3 Mbytes	2020-11-26T05:42:00Z
CSPv21_NPP_2019.225.WA.tif	 166.1 Mbytes	2020-11-26T05:43:00Z
CSPv21_NPP_2019.225.NSW_ACT.tif	 55.8 Mbytes	2020-11-26T05:44:00Z
CSPv21_NPP_2019.241.tif	 510.2 Mbytes	2020-11-26T05:48:00Z
CSPv21_NPP_2019.241.NT.tif	 85.89 Mbytes	2020-11-26T05:49:00Z
CSPv21_NPP_2019.241.QLD.tif	 111.0 Mbytes	2020-11-26T05:50:00Z
CSPv21_NPP_2019.241.SA.tif	 67.5 Mbytes	2020-11-26T05:50:00Z
CSPv21_NPP_2019.241.TAS.tif	 5.3 Mbytes	2020-11-26T05:50:00Z
CSPv21_NPP_2019.241.VIC.tif	 16.3 Mbytes	2020-11-26T05:50:00Z
CSPv21_NPP_2019.241.WA.tif	 167.1 Mbytes	2020-11-26T05:51:00Z
CSPv21_NPP_2019.241.NSW_ACT.tif	 56.0 Mbytes	2020-11-26T05:52:00Z
CSPv21_NPP_2019.257.tif	 511.5 Mbytes	2020-11-26T05:57:00Z
CSPv21_NPP_2019.257.NT.tif	 86.1 Mbytes	2020-11-26T05:57:00Z
CSPv21_NPP_2019.257.QLD.tif	 111.8 Mbytes	2020-11-26T05:58:00Z
CSPv21_NPP_2019.257.SA.tif	 67.39 Mbytes	2020-11-26T05:58:00Z
CSPv21_NPP_2019.257.TAS.tif	 5.3 Mbytes	2020-11-26T05:58:00Z
CSPv21_NPP_2019.257.VIC.tif	 16.3 Mbytes	2020-11-26T05:58:00Z
CSPv21_NPP_2019.257.WA.tif	 167.4 Mbytes	2020-11-26T06:00:00Z
CSPv21_NPP_2019.257.NSW_ACT.tif	 56.19 Mbytes	2020-11-26T06:00:00Z
CSPv21_NPP_2019.273.tif	 514.9 Mbytes	2020-11-26T06:05:00Z
CSPv21_NPP_2019.273.NT.tif	 86.6 Mbytes	2020-11-26T06:06:00Z
CSPv21_NPP_2019.273.QLD.tif	 112.6 Mbytes	2020-11-26T06:06:00Z
CSPv21_NPP_2019.273.SA.tif	 68.1 Mbytes	2020-11-26T06:06:00Z
CSPv21_NPP_2019.273.TAS.tif	 5.3 Mbytes	2020-11-26T06:06:00Z
CSPv21_NPP_2019.273.VIC.tif	 16.39 Mbytes	2020-11-26T06:06:00Z
CSPv21_NPP_2019.273.WA.tif	 168.6 Mbytes	2020-11-26T06:08:00Z
CSPv21_NPP_2019.273.NSW_ACT.tif	 56.3 Mbytes	2020-11-26T06:08:00Z
CSPv21_NPP_2019.289.tif	 516.7 Mbytes	2020-11-26T06:13:00Z
CSPv21_NPP_2019.289.NT.tif	 86.6 Mbytes	2020-11-26T06:14:00Z
CSPv21_NPP_2019.289.QLD.tif	 113.3 Mbytes	2020-11-26T06:14:00Z
CSPv21_NPP_2019.289.SA.tif	 68.3 Mbytes	2020-11-26T06:15:00Z
CSPv21_NPP_2019.289.TAS.tif	 5.3 Mbytes	2020-11-26T06:15:00Z
CSPv21_NPP_2019.289.VIC.tif	 16.39 Mbytes	2020-11-26T06:15:00Z
CSPv21_NPP_2019.289.WA.tif	 169.2 Mbytes	2020-11-26T06:16:00Z
CSPv21_NPP_2019.289.NSW_ACT.tif	 56.59 Mbytes	2020-11-26T06:17:00Z
CSPv21_NPP_2019.305.tif	 516.7 Mbytes	2020-11-26T06:21:00Z
CSPv21_NPP_2019.305.NT.tif	 86.3 Mbytes	2020-11-26T06:22:00Z
CSPv21_NPP_2019.305.QLD.tif	 112.8 Mbytes	2020-11-26T06:23:00Z
CSPv21_NPP_2019.305.SA.tif	 68.39 Mbytes	2020-11-26T06:23:00Z
CSPv21_NPP_2019.305.TAS.tif	 5.3 Mbytes	2020-11-26T06:23:00Z
CSPv21_NPP_2019.305.VIC.tif	 16.5 Mbytes	2020-11-26T06:23:00Z
CSPv21_NPP_2019.305.WA.tif	 169.7 Mbytes	2020-11-26T06:24:00Z
CSPv21_NPP_2019.305.NSW_ACT.tif	 56.69 Mbytes	2020-11-26T06:25:00Z
CSPv21_NPP_2019.321.tif	 517.4 Mbytes	2020-11-26T06:30:00Z
CSPv21_NPP_2019.321.NT.tif	 85.89 Mbytes	2020-11-26T06:31:00Z
CSPv21_NPP_2019.321.QLD.tif	 112.6 Mbytes	2020-11-26T06:31:00Z
CSPv21_NPP_2019.321.SA.tif	 68.6 Mbytes	2020-11-26T06:32:00Z
CSPv21_NPP_2019.321.TAS.tif	 5.3 Mbytes	2020-11-26T06:32:00Z
CSPv21_NPP_2019.321.VIC.tif	 16.59 Mbytes	2020-11-26T06:32:00Z
CSPv21_NPP_2019.321.WA.tif	 170.0 Mbytes	2020-11-26T06:33:00Z
CSPv21_NPP_2019.321.NSW_ACT.tif	 57.19 Mbytes	2020-11-26T06:33:00Z
CSPv21_NPP_2019.337.tif	 517.1 Mbytes	2020-11-26T06:38:00Z
CSPv21_NPP_2019.337.NT.tif	 85.7 Mbytes	2020-11-26T06:39:00Z
CSPv21_NPP_2019.337.QLD.tif	 112.3 Mbytes	2020-11-26T06:40:00Z
CSPv21_NPP_2019.337.SA.tif	 68.8 Mbytes	2020-11-26T06:40:00Z
CSPv21_NPP_2019.337.TAS.tif	 5.3 Mbytes	2020-11-26T06:40:00Z
CSPv21_NPP_2019.337.VIC.tif	 16.7 Mbytes	2020-11-26T06:40:00Z
CSPv21_NPP_2019.337.WA.tif	 169.7 Mbytes	2020-11-26T06:41:00Z
CSPv21_NPP_2019.337.NSW_ACT.tif	 57.4 Mbytes	2020-11-26T06:42:00Z
CSPv21_NPP_2019.353.tif	 516.4 Mbytes	2020-11-26T06:47:00Z
CSPv21_NPP_2019.353.NT.tif	 85.1 Mbytes	2020-11-26T06:47:00Z
CSPv21_NPP_2019.353.QLD.tif	 111.6 Mbytes	2020-11-26T06:48:00Z
CSPv21_NPP_2019.353.SA.tif	 68.8 Mbytes	2020-11-26T06:48:00Z
CSPv21_NPP_2019.353.TAS.tif	 5.399 Mbytes	2020-11-26T06:48:00Z
CSPv21_NPP_2019.353.VIC.tif	 16.9 Mbytes	2020-11-26T06:49:00Z
CSPv21_NPP_2019.353.WA.tif	 169.9 Mbytes	2020-11-26T06:50:00Z
CSPv21_NPP_2019.353.NSW_ACT.tif	 57.69 Mbytes	2020-11-26T06:50:00Z